Time,HandRoleR.x,HandRoleR.y,HandRoleR.z,ThumbPosR1.x,ThumbPosR1.y,ThumbPosR1.z,ThumbPosR2.x,ThumbPosR2.y,ThumbPosR2.z,ThumbPosR3.x,ThumbPosR3.y,ThumbPosR3.z,ThumbPosR4.x,ThumbPosR4.y,ThumbPosR4.z,IndexPosR1.x,IndexPosR1.y,IndexPosR1.z,IndexPosR2.x,IndexPosR2.y,IndexPosR2.z,IndexPosR3.x,IndexPosR3.y,IndexPosR3.z,IndexPosR4.x,IndexPosR4.y,IndexPosR4.z,MiddlePosR1.x,MiddlePosR1.y,MiddlePosR1.z,MiddlePosR2.x,MiddlePosR2.y,MiddlePosR2.z,MiddlePosR3.x,MiddlePosR3.y,MiddlePosR3.z,MiddlePosR4.x,MiddlePosR4.y,MiddlePosR4.z,RingPosR1.x,RingPosR1.y,RingPosR1.z,RingPosR2.x,RingPosR2.y,RingPosR2.z,RingPosR3.x,RingPosR3.y,RingPosR3.z,RingPosR4.x,RingPosR4.y,RingPosR4.z,PinkyPosR1.x,PinkyPosR1.y,PinkyPosR1.z,PinkyPosR2.x,PinkyPosR2.y,PinkyPosR2.z,PinkyPosR3.x,PinkyPosR3.y,PinkyPosR3.z,PinkyPosR4.x,PinkyPosR4.y,PinkyPosR4.z
0.0393,348.8051,170.348,0.16196,-0.3944263,-0.1706715,-0.6330442,-0.7599659,-0.06975271,-1.134573,-1.066807,0.08987328,-1.855938,-1.296938,0.2095928,-2.396963,-1.721416,-0.07267731,-0.774295,-2.317488,-0.1707046,-1.071882,-2.741533,-0.3244883,-1.301211,-3.073051,-0.4962937,-1.491315,-1.730885,-0.165344,-0.3291574,-2.533386,-0.02959417,-0.4383875,-3.112804,0.06841895,-0.517253,-3.526564,0.1384098,-0.5735706,-1.670447,-0.2852696,0.06585166,-2.407727,-0.4961151,0.03160603,-2.876675,-0.7690693,-0.01729384,-3.227486,-1.060787,-0.07096961,-1.52526,-0.4291976,0.4070759,-2.15484,-0.5594817,0.5013928,-2.522524,-0.7195766,0.540526,-2.831253,-0.9076219,0.5632046
0.0457,348.8051,170.348,0.16196,-0.3944263,-0.1706715,-0.6330442,-0.7599659,-0.06975271,-1.134573,-1.066807,0.08987328,-1.855938,-1.296938,0.2095928,-2.396963,-1.721416,-0.07267731,-0.774295,-2.317488,-0.1707046,-1.071882,-2.741533,-0.3244883,-1.301211,-3.073051,-0.4962937,-1.491315,-1.730885,-0.165344,-0.3291574,-2.533386,-0.02959417,-0.4383875,-3.112804,0.06841895,-0.517253,-3.526564,0.1384098,-0.5735706,-1.670447,-0.2852696,0.06585166,-2.407727,-0.4961151,0.03160603,-2.876675,-0.7690693,-0.01729384,-3.227486,-1.060787,-0.07096961,-1.52526,-0.4291976,0.4070759,-2.15484,-0.5594817,0.5013928,-2.522524,-0.7195766,0.540526,-2.831253,-0.9076219,0.5632046
0.0484,348.8051,170.348,0.16196,-0.3944263,-0.1706715,-0.6330442,-0.7599659,-0.06975271,-1.134573,-1.066807,0.08987328,-1.855938,-1.296938,0.2095928,-2.396963,-1.721416,-0.07267731,-0.774295,-2.317488,-0.1707046,-1.071882,-2.741533,-0.3244883,-1.301211,-3.073051,-0.4962937,-1.491315,-1.730885,-0.165344,-0.3291574,-2.533386,-0.02959417,-0.4383875,-3.112804,0.06841895,-0.517253,-3.526564,0.1384098,-0.5735706,-1.670447,-0.2852696,0.06585166,-2.407727,-0.4961151,0.03160603,-2.876675,-0.7690693,-0.01729384,-3.227486,-1.060787,-0.07096961,-1.52526,-0.4291976,0.4070759,-2.15484,-0.5594817,0.5013928,-2.522524,-0.7195766,0.540526,-2.831253,-0.9076219,0.5632046
0.0513,348.8051,170.348,0.16196,-0.3944263,-0.1706715,-0.6330442,-0.7599659,-0.06975271,-1.134573,-1.066807,0.08987328,-1.855938,-1.296938,0.2095928,-2.396963,-1.721416,-0.07267731,-0.774295,-2.317488,-0.1707046,-1.071882,-2.741533,-0.3244883,-1.301211,-3.073051,-0.4962937,-1.491315,-1.730885,-0.165344,-0.3291574,-2.533386,-0.02959417,-0.4383875,-3.112804,0.06841895,-0.517253,-3.526564,0.1384098,-0.5735706,-1.670447,-0.2852696,0.06585166,-2.407727,-0.4961151,0.03160603,-2.876675,-0.7690693,-0.01729384,-3.227486,-1.060787,-0.07096961,-1.52526,-0.4291976,0.4070759,-2.15484,-0.5594817,0.5013928,-2.522524,-0.7195766,0.540526,-2.831253,-0.9076219,0.5632046
0.0540,348.7541,170.3354,0.2007532,-0.3944569,-0.1698466,-0.6332468,-0.7599001,-0.06829517,-1.134717,-1.066714,0.09204707,-1.855936,-1.296825,0.2123037,-2.396849,-1.721385,-0.07104203,-0.7745162,-2.317724,-0.1673442,-1.072129,-2.742389,-0.3192022,-1.301594,-3.074752,-0.4891063,-1.491932,-1.730938,-0.1641436,-0.3294713,-2.532698,-0.02320393,-0.4375807,-3.111578,0.0785563,-0.515637,-3.524956,0.151223,-0.5713769,-1.670597,-0.2844899,0.06542422,-2.408072,-0.4946161,0.03096819,-2.877392,-0.7668872,-0.01816183,-3.228686,-1.057978,-0.07207543,-1.525513,-0.4288283,0.4065186,-2.15513,-0.5590888,0.5006069,-2.52278,-0.7193285,0.5394716,-2.831406,-0.9075809,0.5618343
0.0565,348.7541,170.3354,0.2007532,-0.3944569,-0.1698466,-0.6332468,-0.7599001,-0.06829517,-1.134717,-1.066714,0.09204707,-1.855936,-1.296825,0.2123037,-2.396849,-1.721385,-0.07104203,-0.7745162,-2.317724,-0.1673442,-1.072129,-2.742389,-0.3192022,-1.301594,-3.074752,-0.4891063,-1.491932,-1.730938,-0.1641436,-0.3294713,-2.532698,-0.02320393,-0.4375807,-3.111578,0.0785563,-0.515637,-3.524956,0.151223,-0.5713769,-1.670597,-0.2844899,0.06542422,-2.408072,-0.4946161,0.03096819,-2.877392,-0.7668872,-0.01816183,-3.228686,-1.057978,-0.07207543,-1.525513,-0.4288283,0.4065186,-2.15513,-0.5590888,0.5006069,-2.52278,-0.7193285,0.5394716,-2.831406,-0.9075809,0.5618343
0.0589,348.7541,170.3354,0.2007532,-0.3944569,-0.1698466,-0.6332468,-0.7599001,-0.06829517,-1.134717,-1.066714,0.09204707,-1.855936,-1.296825,0.2123037,-2.396849,-1.721385,-0.07104203,-0.7745162,-2.317724,-0.1673442,-1.072129,-2.742389,-0.3192022,-1.301594,-3.074752,-0.4891063,-1.491932,-1.730938,-0.1641436,-0.3294713,-2.532698,-0.02320393,-0.4375807,-3.111578,0.0785563,-0.515637,-3.524956,0.151223,-0.5713769,-1.670597,-0.2844899,0.06542422,-2.408072,-0.4946161,0.03096819,-2.877392,-0.7668872,-0.01816183,-3.228686,-1.057978,-0.07207543,-1.525513,-0.4288283,0.4065186,-2.15513,-0.5590888,0.5006069,-2.52278,-0.7193285,0.5394716,-2.831406,-0.9075809,0.5618343
0.0613,348.7541,170.3354,0.2007532,-0.3944569,-0.1698466,-0.6332468,-0.7599001,-0.06829517,-1.134717,-1.066714,0.09204707,-1.855936,-1.296825,0.2123037,-2.396849,-1.721385,-0.07104203,-0.7745162,-2.317724,-0.1673442,-1.072129,-2.742389,-0.3192022,-1.301594,-3.074752,-0.4891063,-1.491932,-1.730938,-0.1641436,-0.3294713,-2.532698,-0.02320393,-0.4375807,-3.111578,0.0785563,-0.515637,-3.524956,0.151223,-0.5713769,-1.670597,-0.2844899,0.06542422,-2.408072,-0.4946161,0.03096819,-2.877392,-0.7668872,-0.01816183,-3.228686,-1.057978,-0.07207543,-1.525513,-0.4288283,0.4065186,-2.15513,-0.5590888,0.5006069,-2.52278,-0.7193285,0.5394716,-2.831406,-0.9075809,0.5618343
0.0641,348.6529,170.2968,0.2746231,-0.394351,-0.168234,-0.6337433,-0.7594862,-0.06533177,-1.135163,-1.066145,0.09746715,-1.855896,-1.296138,0.2195664,-2.396447,-1.721125,-0.06789371,-0.7753767,-2.317892,-0.1608857,-1.073184,-2.743664,-0.3090456,-1.303015,-3.077572,-0.4752944,-1.493877,-1.730954,-0.1618559,-0.3305187,-2.531345,-0.01209729,-0.4368885,-3.10924,0.09603038,-0.5136889,-3.521911,0.173244,-0.5685318,-1.670893,-0.283031,0.06416619,-2.408422,-0.4928347,0.02890013,-2.87764,-0.7651302,-0.02107464,-3.228701,-1.056347,-0.07582098,-1.52609,-0.4281735,0.4050386,-2.155813,-0.5583556,0.4985319,-2.523432,-0.7188081,0.5367975,-2.831912,-0.9073781,0.5584897
0.0714,348.6529,170.2968,0.2746231,-0.394351,-0.168234,-0.6337433,-0.7594862,-0.06533177,-1.135163,-1.066145,0.09746715,-1.855896,-1.296138,0.2195664,-2.396447,-1.721125,-0.06789371,-0.7753767,-2.317892,-0.1608857,-1.073184,-2.743664,-0.3090456,-1.303015,-3.077572,-0.4752944,-1.493877,-1.730954,-0.1618559,-0.3305187,-2.531345,-0.01209729,-0.4368885,-3.10924,0.09603038,-0.5136889,-3.521911,0.173244,-0.5685318,-1.670893,-0.283031,0.06416619,-2.408422,-0.4928347,0.02890013,-2.87764,-0.7651302,-0.02107464,-3.228701,-1.056347,-0.07582098,-1.52609,-0.4281735,0.4050386,-2.155813,-0.5583556,0.4985319,-2.523432,-0.7188081,0.5367975,-2.831912,-0.9073781,0.5584897
