Time,HandPositionR.x,HandPositionR.y,HandPosiotnR.z,HandPositionL.x,HandPositionL.y,HandPosiotnL.z
0.0065,-1.01013326644897,-0.872617423534393,2.57400012016296,-0.607557773590088,-0.869936168193817,2.87340188026428
0.0139,-1.01011443138123,-0.872610151767731,2.57402205467224,-0.60755068063736,-0.869950175285339,2.87340974807739
0.0165,-1.01009786128998,-0.872602999210358,2.57404136657715,-0.607543706893921,-0.869960844516754,2.87341499328613
0.0195,-1.0100804567337,-0.872593879699707,2.57406640052795,-0.607526123523712,-0.869984090328217,2.87339639663696
0.0220,-1.01006436347961,-0.872586965560913,2.5740864276886,-0.607523739337921,-0.869997501373291,2.87340140342712
0.0246,-1.01004791259766,-0.87257969379425,2.57410860061646,-0.607518136501312,-0.870009422302246,2.87340593338013
0.0270,-1.01002848148346,-0.87257307767868,2.57413291931152,-0.607510983943939,-0.870020866394043,2.87341141700745
0.0299,-1.01001238822937,-0.872566521167755,2.57415342330933,-0.607501566410065,-0.870028376579285,2.87341380119324
0.0330,-1.00999307632446,-0.87255847454071,2.57418203353882,-0.607492864131927,-0.870041310787201,2.8734188079834
0.0393,-1.00995230674744,-0.872545480728149,2.57423973083496,-0.60745894908905,-0.870068252086639,2.87342715263367
0.0457,-1.0097451210022,-0.872325479984283,2.57433295249939,-0.607343673706055,-0.870065808296204,2.87339425086975
0.0484,-1.00972330570221,-0.872316181659698,2.57436108589172,-0.607320368289948,-0.870085418224335,2.87339353561401
0.0513,-1.00970458984375,-0.872308313846588,2.57438659667969,-0.607301354408264,-0.87010133266449,2.87339305877686
0.0540,-1.00968539714813,-0.87229984998703,2.57441139221191,-0.607276678085327,-0.870121777057648,2.87339425086975
0.0565,-1.00966894626617,-0.872292637825012,2.57443475723267,-0.607258319854736,-0.870137393474579,2.87339425086975
0.0589,-1.00965130329132,-0.872285008430481,2.57445812225342,-0.607239305973053,-0.870153605937958,2.87339425086975
0.0613,-1.00979566574097,-0.872423589229584,2.57424259185791,-0.60741001367569,-0.870310962200165,2.87336373329163
0.0641,-1.0097781419754,-0.872413516044617,2.57426476478577,-0.60739004611969,-0.870332896709442,2.873366355896
0.0714,-1.00972890853882,-0.872390866279602,2.57432389259338,-0.607316374778748,-0.870410919189453,2.87338423728943
0.0774,-1.00968968868256,-0.872373759746552,2.57437038421631,-0.607256293296814,-0.870475947856903,2.87340092658997
0.0800,-1.00991988182068,-0.872464299201965,2.57415151596069,-0.607228338718414,-0.870465755462646,2.87338590621948
0.0826,-1.0099048614502,-0.87245786190033,2.57416868209839,-0.607199490070343,-0.870496928691864,2.8733959197998
0.0848,-1.00989174842834,-0.872451603412628,2.57418298721313,-0.607175648212433,-0.870522797107697,2.8734028339386
0.0877,-1.0098729133606,-0.872445821762085,2.57420301437378,-0.607142269611359,-0.870558381080627,2.8734118938446
0.0908,-1.00985443592072,-0.872440278530121,2.57422280311584,-0.607114493846893,-0.870590150356293,2.87341904640198
0.0935,-1.00983762741089,-0.872434139251709,2.57424092292786,-0.607087075710297,-0.870620012283325,2.87342596054077
0.0958,-1.00982308387756,-0.872430741786957,2.57425737380981,-0.607064127922058,-0.870645403862,2.87343192100525
0.0981,-1.00980889797211,-0.872426092624664,2.57427310943604,-0.607041001319885,-0.870671033859253,2.87343788146973
0.1053,-1.00985825061798,-0.87242466211319,2.57419276237488,-0.606968402862549,-0.870649099349976,2.87346744537354
0.1110,-1.00982260704041,-0.872420608997345,2.57424020767212,-0.606894612312317,-0.870694756507874,2.87348437309265
0.1136,-1.00980770587921,-0.872418284416199,2.57425856590271,-0.606851935386658,-0.870713829994202,2.87349033355713
0.1166,-1.00978887081146,-0.872415363788605,2.5742871761322,-0.606807291507721,-0.870739459991455,2.8734986782074
0.1203,-1.00937068462372,-0.872171223163605,2.57460498809814,-0.606675505638123,-0.870775699615479,2.87355351448059
0.1231,-1.0093492269516,-0.872167885303497,2.57463240623474,-0.60662966966629,-0.870800256729126,2.8735613822937
0.1258,-1.0093309879303,-0.872164905071259,2.57466006278992,-0.606548726558685,-0.870844423770905,2.87356328964233
0.1288,-1.00930905342102,-0.872160196304321,2.57469153404236,-0.606486737728119,-0.870878517627716,2.87356972694397
0.1314,-1.00928950309753,-0.872156202793121,2.57471823692322,-0.606413543224335,-0.870921790599823,2.8735785484314
0.1426,-1.00907397270203,-0.871977865695953,2.57487177848816,-0.606029868125916,-0.870979964733124,2.87366557121277
0.1452,-1.00905430316925,-0.87196409702301,2.57489609718323,-0.605948388576508,-0.871069490909576,2.87366056442261
0.1476,-1.00903606414795,-0.871946334838867,2.5749204158783,-0.605875611305237,-0.871127784252167,2.87366461753845
0.1505,-1.00901591777802,-0.871934115886688,2.57494616508484,-0.605799317359924,-0.871205449104309,2.87365961074829
0.1529,-1.0090000629425,-0.871913254261017,2.5749683380127,-0.605728983879089,-0.871276021003723,2.87364983558655
0.1552,-1.00898349285126,-0.871900260448456,2.57499027252197,-0.605664789676666,-0.87133663892746,2.87364721298218
0.1574,-1.00896811485291,-0.87187933921814,2.5750105381012,-0.605599820613861,-0.871397972106934,2.87364435195923
0.1598,-1.00907552242279,-0.871915996074677,2.57485508918762,-0.605743825435638,-0.871636509895325,2.87353324890137
0.1621,-1.00906026363373,-0.871899127960205,2.5748724937439,-0.605679988861084,-0.871701300144196,2.87352776527405
0.1649,-1.00904107093811,-0.871873497962952,2.57489323616028,-0.605591118335724,-0.871787130832672,2.87350630760193
0.1714,-1.00899517536163,-0.871817290782928,2.57494211196899,-0.605387687683105,-0.871980965137482,2.87347030639648
0.1763,-1.00896322727203,-0.87178236246109,2.57497191429138,-0.605246007442474,-0.872102797031403,2.87343907356262
0.1790,-1.00888955593109,-0.871731758117676,2.57489919662476,-0.605123579502106,-0.872195422649384,2.87338352203369
0.1816,-1.00886988639832,-0.871710896492004,2.5749135017395,-0.605041325092316,-0.872266888618469,2.8733651638031
0.1842,-1.00885021686554,-0.871695876121521,2.57492518424988,-0.604959964752197,-0.87232631444931,2.87334537506104
0.1865,-1.00883042812347,-0.871681332588196,2.5749397277832,-0.604881346225739,-0.87238597869873,2.87332558631897
