Time,HandRoleL.x,HandRoleL.y,HandRoleL.z,ThumbPosL1.x,ThumbPosL1.y,ThumbPosL1.z,ThumbPosL2.x,ThumbPosL2.y,ThumbPosL2.z,ThumbPosL3.x,ThumbPosL3.y,ThumbPosL3.z,ThumbPosL4.x,ThumbPosL4.y,ThumbPosL4.z,IndexPosL1.x,IndexPosL1.y,IndexPosL1.z,IndexPosL2.x,IndexPosL2.y,IndexPosL2.z,IndexPosL3.x,IndexPosL3.y,IndexPosL3.z,IndexPosL4.x,IndexPosL4.y,IndexPosL4.z,MiddlePosL1.x,MiddlePosL1.y,MiddlePosL1.z,MiddlePosL2.x,MiddlePosL2.y,MiddlePosL2.z,MiddlePosL3.x,MiddlePosL3.y,MiddlePosL3.z,MiddlePosL4.x,MiddlePosL4.y,MiddlePosL4.z,RingPosL1.x,RingPosL1.y,RingPosL1.z,RingPosL2.x,RingPosL2.y,RingPosL2.z,RingPosL3.x,RingPosL3.y,RingPosL3.z,RingPosL4.x,RingPosL4.y,RingPosL4.z,PinkyPosL1.x,PinkyPosL1.y,PinkyPosL1.z,PinkyPosL2.x,PinkyPosL2.y,PinkyPosL2.z,PinkyPosL3.x,PinkyPosL3.y,PinkyPosL3.z,PinkyPosL4.x,PinkyPosL4.y,PinkyPosL4.z
0.0393,357.2665,8.275727,347.1773,-0.4626951,-0.1358508,0.5940567,-1.089888,-0.09749669,0.6142641,-1.579355,-0.5552652,0.177377,-1.246391,-0.8575196,-0.2198355,-1.735994,0.2622459,0.6967573,-2.351166,0.1721548,0.9554361,-2.775677,-0.03922027,1.13211,-3.086678,-0.2889538,1.260378,-1.73871,0.2211456,0.2437583,-2.534061,0.05803559,0.3673129,-3.007755,-0.2880357,0.452909,-3.26375,-0.6209909,0.5062079,-1.683128,0.131863,-0.1600223,-2.436563,-0.01523242,-0.1672432,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401,-1.554441,-0.006514699,-0.5099637,-2.191477,-0.03956284,-0.6337868,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401
0.0457,357.2665,8.275727,347.1773,-0.4626951,-0.1358508,0.5940567,-1.089888,-0.09749669,0.6142641,-1.579355,-0.5552652,0.177377,-1.246391,-0.8575196,-0.2198355,-1.735994,0.2622459,0.6967573,-2.351166,0.1721548,0.9554361,-2.775677,-0.03922027,1.13211,-3.086678,-0.2889538,1.260378,-1.73871,0.2211456,0.2437583,-2.534061,0.05803559,0.3673129,-3.007755,-0.2880357,0.452909,-3.26375,-0.6209909,0.5062079,-1.683128,0.131863,-0.1600223,-2.436563,-0.01523242,-0.1672432,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401,-1.554441,-0.006514699,-0.5099637,-2.191477,-0.03956284,-0.6337868,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401
0.0484,357.2665,8.275727,347.1773,-0.4626951,-0.1358508,0.5940567,-1.089888,-0.09749669,0.6142641,-1.579355,-0.5552652,0.177377,-1.246391,-0.8575196,-0.2198355,-1.735994,0.2622459,0.6967573,-2.351166,0.1721548,0.9554361,-2.775677,-0.03922027,1.13211,-3.086678,-0.2889538,1.260378,-1.73871,0.2211456,0.2437583,-2.534061,0.05803559,0.3673129,-3.007755,-0.2880357,0.452909,-3.26375,-0.6209909,0.5062079,-1.683128,0.131863,-0.1600223,-2.436563,-0.01523242,-0.1672432,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401,-1.554441,-0.006514699,-0.5099637,-2.191477,-0.03956284,-0.6337868,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401
0.0513,357.2665,8.275727,347.1773,-0.4626951,-0.1358508,0.5940567,-1.089888,-0.09749669,0.6142641,-1.579355,-0.5552652,0.177377,-1.246391,-0.8575196,-0.2198355,-1.735994,0.2622459,0.6967573,-2.351166,0.1721548,0.9554361,-2.775677,-0.03922027,1.13211,-3.086678,-0.2889538,1.260378,-1.73871,0.2211456,0.2437583,-2.534061,0.05803559,0.3673129,-3.007755,-0.2880357,0.452909,-3.26375,-0.6209909,0.5062079,-1.683128,0.131863,-0.1600223,-2.436563,-0.01523242,-0.1672432,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401,-1.554441,-0.006514699,-0.5099637,-2.191477,-0.03956284,-0.6337868,-2.886896,-0.3214535,-0.1528281,-3.183863,-0.6711915,-0.1306401
0.0540,357.2427,8.179397,347.1952,-0.4636345,-0.1358031,0.5933349,-1.090847,-0.0975427,0.6131469,-1.579988,-0.5553635,0.1759516,-1.247488,-0.8580207,-0.2213418,-1.737249,0.2618624,0.6937672,-2.352957,0.1728075,0.9515261,-2.778297,-0.03719495,1.127845,-3.090374,-0.2855866,1.256104,-1.739195,0.2205948,0.2407795,-2.53475,0.05751611,0.3630634,-3.008698,-0.2883647,0.4480157,-3.264965,-0.6211534,0.5010427,-1.682907,0.1311844,-0.1628751,-2.436314,-0.01600163,-0.1713146,-2.886709,-0.3221571,-0.1575611,-3.183821,-0.6717976,-0.1357632,-1.553587,-0.007274307,-0.5125507,-2.190399,-0.04069876,-0.6374105,-2.886709,-0.3221571,-0.1575611,-3.183821,-0.6717976,-0.1357632
0.0565,357.2427,8.179397,347.1952,-0.4636345,-0.1358031,0.5933349,-1.090847,-0.0975427,0.6131469,-1.579988,-0.5553635,0.1759516,-1.247488,-0.8580207,-0.2213418,-1.737249,0.2618624,0.6937672,-2.352957,0.1728075,0.9515261,-2.778297,-0.03719495,1.127845,-3.090374,-0.2855866,1.256104,-1.739195,0.2205948,0.2407795,-2.53475,0.05751611,0.3630634,-3.008698,-0.2883647,0.4480157,-3.264965,-0.6211534,0.5010427,-1.682907,0.1311844,-0.1628751,-2.436314,-0.01600163,-0.1713146,-2.886709,-0.3221571,-0.1575611,-3.183821,-0.6717976,-0.1357632,-1.553587,-0.007274307,-0.5125507,-2.190399,-0.04069876,-0.6374105,-2.886709,-0.3221571,-0.1575611,-3.183821,-0.6717976,-0.1357632
0.0589,357.2427,8.179397,347.1952,-0.4636345,-0.1358031,0.5933349,-1.090847,-0.0975427,0.6131469,-1.579988,-0.5553635,0.1759516,-1.247488,-0.8580207,-0.2213418,-1.737249,0.2618624,0.6937672,-2.352957,0.1728075,0.9515261,-2.778297,-0.03719495,1.127845,-3.090374,-0.2855866,1.256104,-1.739195,0.2205948,0.2407795,-2.53475,0.05751611,0.3630634,-3.008698,-0.2883647,0.4480157,-3.264965,-0.6211534,0.5010427,-1.682907,0.1311844,-0.1628751,-2.436314,-0.01600163,-0.1713146,-2.886709,-0.3221571,-0.1575611,-3.183821,-0.6717976,-0.1357632,-1.553587,-0.007274307,-0.5125507,-2.190399,-0.04069876,-0.6374105,-2.886709,-0.3221571,-0.1575611,-3.183821,-0.6717976,-0.1357632
0.0613,357.2427,8.179397,347.1952,-0.4636345,-0.1358031,0.5933349,-1.090847,-0.0975427,0.6131469,-1.579988,-0.5553635,0.1759516,-1.247488,-0.8580207,-0.2213418,-1.737249,0.2618624,0.6937672,-2.352957,0.1728075,0.9515261,-2.778297,-0.03719495,1.127845,-3.090374,-0.2855866,1.256104,-1.739195,0.2205948,0.2407795,-2.53475,0.05751611,0.3630634,-3.008698,-0.2883647,0.4480157,-3.264965,-0.6211534,0.5010427,-1.682907,0.1311844,-0.1628751,-2.436314,-0.01600163,-0.1713146,-2.886709,-0.3221571,-0.1575611,-3.183821,-0.6717976,-0.1357632,-1.553587,-0.007274307,-0.5125507,-2.190399,-0.04069876,-0.6374105,-2.886709,-0.3221571,-0.1575611,-3.183821,-0.6717976,-0.1357632
0.0641,357.2636,8.331573,347.1968,-0.46206,-0.1360086,0.5945152,-1.08926,-0.09793149,0.6150289,-1.578732,-0.5560868,0.1785538,-1.245476,-0.8581161,-0.2185833,-1.735394,0.2616507,0.6984768,-2.350557,0.1737171,0.9579128,-2.776056,-0.03483288,1.135567,-3.088772,-0.2818108,1.264995,-1.738544,0.2205485,0.2454808,-2.533833,0.05772164,0.3698138,-3.007799,-0.287847,0.455918,-3.26424,-0.6204084,0.5095374,-1.683331,0.1312841,-0.1583546,-2.436802,-0.01566853,-0.164865,-2.887341,-0.3215646,-0.1500526,-3.184666,-0.6709831,-0.1276186,-1.554943,-0.007050114,-0.508423,-2.192085,-0.04049908,-0.6315914,-2.887341,-0.3215646,-0.1500526,-3.184666,-0.6709831,-0.1276186
0.0714,357.2588,8.355103,347.2192,-0.46175,-0.1361767,0.594717,-1.088963,-0.09837128,0.6153823,-1.578342,-0.5569034,0.1791995,-1.244923,-0.8588459,-0.217867,-1.735197,0.2609789,0.6992149,-2.350382,0.1742463,0.9590053,-2.776464,-0.03266051,1.137184,-3.090185,-0.278013,1.267265,-1.738525,0.2198636,0.2462213,-2.533766,0.05706463,0.3708938,-3.007853,-0.2882824,0.4572336,-3.264511,-0.6206495,0.5110125,-1.683451,0.1306105,-0.1576354,-2.436928,-0.01631949,-0.1638477,-2.887602,-0.3220094,-0.1488735,-3.185179,-0.6712072,-0.1263418,-1.555159,-0.007681763,-0.5077553,-2.192345,-0.04115376,-0.6306794,-2.887602,-0.3220094,-0.1488735,-3.185179,-0.6712072,-0.1263418
